0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
-72,-71,-69,-71,-65,-72,-68,-71,-70,-72,-72,-71,-69,-61,-70,-71,-72,-62,-67,-51,-56,-65,-69,-58,-29,-20,-65,-68,-69,-66,-60,-64,-63,-68,0,-67,-60,-65,-20,-64,-66,-55,-72,-54,-70,-54,-61,-65,-64,-66,3.62,4.21
-71,-70,-68,-75,-73,-72,-72,-73,-64,-70,-73,-71,-69,-70,-68,-70,-69,-67,-67,-63,-63,-64,-72,-70,-67,-62,-58,-61,-68,-69,-56,-67,-62,-64,-64,-52,-64,-45,-60,-49,-63,-55,-55,-68,-57,-54,-20,-58,-53,-20,4.97,4.88
-72,-71,-73,-68,-73,-71,-72,-74,-69,-74,-69,-73,-72,0,-73,-73,-71,-71,-67,-64,-63,-71,-70,-71,-68,-69,-68,-68,-72,-70,-71,-57,-67,-65,-68,-64,-67,-63,-67,-68,-70,-53,-66,-64,-73,-71,-68,-62,-68,-66,2.04,4.5
-64,-71,-67,-63,-72,-68,-70,-64,-68,-59,-63,-72,-69,-71,-66,-63,-69,-71,-71,-65,-72,-68,-70,-68,-67,-71,-68,-64,-67,-72,-63,-61,-70,-61,-70,-71,-72,-69,-65,-74,-73,-73,-73,-72,-74,-74,-71,-69,-73,-72,1.53,0.9
-72,-73,-70,-73,-73,-71,-72,-72,-70,-71,-72,-71,-69,-71,-72,-72,-73,-71,-73,-75,-73,-72,-68,-72,-71,-70,-70,-73,-72,-72,-73,0,0,-73,-73,-69,-72,-74,0,-73,-75,-71,-73,-74,-72,-73,0,-74,-73,-73,0.02,0.67
-62,-44,-58,-71,-60,-40,-54,-61,-62,-44,-63,-20,-49,-20,-40,-20,-20,-62,-52,-63,-61,-64,-62,-20,-43,-64,-20,-56,-24,-20,-49,-68,-61,-56,-64,-52,-73,-66,-69,-64,-68,-63,-60,-69,-64,-68,-66,-70,-67,-72,4.98,1.31
0,-73,0,0,0,-71,0,-74,-74,0,-71,-72,-73,-73,-73,-70,-71,-72,-72,-65,-71,-67,-71,-72,-73,-72,-64,-74,-72,-69,-66,-72,-67,-72,-70,-70,-66,-72,-66,-71,-72,-68,-67,-71,-68,0,-71,-69,-67,-71,1.13,4.27
-70,-74,-68,-72,-73,-68,-72,-64,-71,-71,-73,-67,-67,-70,-72,-69,-64,-69,-63,-66,-66,-68,-70,-67,-63,-71,-64,-66,-65,-66,-64,-62,-66,-64,-62,-58,-60,-58,-61,-63,-66,-64,-66,-64,-59,-46,-65,-20,-20,-58,3.66,4.72
-69,-64,-61,-63,-68,-64,-69,0,-65,-65,-70,-67,-64,-64,-61,-61,-51,-57,-20,-43,0,-65,-20,-62,-57,-20,-63,-62,-60,-60,-51,0,-20,-54,-20,-57,-57,-20,-59,-20,-20,-63,-66,-63,-41,-62,-64,-68,-57,-64,4.23,3.07
-68,-65,-70,-68,-65,-60,-61,-64,-62,-65,-64,-69,-54,-65,-63,0,-59,0,0,0,0,-62,0,-62,0,-67,-70,-63,-66,-63,-20,-58,-70,-59,-64,-56,-70,-65,-67,-71,-69,-74,-67,-63,-61,-69,-69,-68,-73,-71,2.51,1.91
0,-69,-71,-70,-70,-69,-68,-73,-72,-65,-72,-69,-66,-69,-68,-70,-69,-69,-67,-68,-74,-67,-62,-72,-63,-73,-67,-70,-72,-67,-71,-72,-71,-66,-60,-70,-71,-71,-70,-67,-72,-68,-72,-67,-67,-72,-70,-67,-72,-69,1.37,1.91
-68,-67,-70,-70,-64,-68,-71,-68,-63,-68,-63,-62,-20,-60,-65,-68,-47,-63,-60,-60,-66,-58,-63,-46,-67,-62,-70,-71,-68,-67,-66,-64,-58,0,0,-61,-66,-54,-67,0,0,-57,-62,-72,-69,-61,-73,-68,-68,0,2.7,2.17
-69,-67,-67,-70,0,-73,-71,-68,-71,-73,-71,-71,-68,-68,-68,-73,-73,-69,-64,-69,-64,-70,-72,-73,-70,-70,-72,-72,-73,-71,-71,-71,-74,-73,-72,-67,-73,-73,-70,-69,-73,-72,-70,-72,-71,-71,-73,0,0,-68,0.23,1.62
-73,-71,-61,-68,-71,-72,-67,-70,-71,-71,-71,-69,-72,-69,-63,-66,-66,-68,-70,-67,-70,-72,-68,-67,-69,-61,-68,-67,-73,0,0,-70,-70,-71,0,-72,0,0,0,0,-74,-72,-74,0,0,-71,-73,0,0,0,1.33,0.35
0,0,0,0,0,0,-64,0,-57,-64,-65,-57,-65,-57,-53,-45,-32,-63,-66,-58,-62,-52,-58,-71,-62,-70,-60,-63,-65,-58,-69,-67,-64,-69,-66,-69,-69,-62,-69,-58,-74,-58,-67,-66,-70,-67,-73,-66,-72,-71,4.01,0.44
-67,-71,-73,-68,-70,-71,-71,-65,-72,-70,-71,-70,-68,-70,-63,-65,-68,-60,-59,-74,-65,-71,-70,-67,-72,-68,0,-70,-68,-72,-61,-66,-62,0,-64,0,0,-64,-62,-63,-65,-68,-62,-58,-58,-59,-56,-70,-64,-72,2.76,3.49
-65,-61,-70,-67,-69,-63,-71,-68,-70,-67,-68,-68,-68,-66,-55,-61,-66,-58,-69,-68,-20,-63,-69,-57,-20,-68,-62,-68,-64,-60,-68,-70,0,-66,-65,-65,-67,-68,-63,-70,-65,-70,-70,-70,-65,-67,-60,-67,-62,-67,2.43,2.39
-70,-74,-70,-64,-73,-71,-70,-62,-71,-65,-71,-69,-66,-69,-67,-71,-69,0,-69,-73,-71,-56,-67,-67,-68,-72,-66,-64,-67,-67,-71,-69,-67,-66,-71,0,-67,0,0,-67,-72,-68,0,-69,-72,-72,-69,-71,-72,-71,1.87,2.65
-65,-67,-70,-71,-67,-66,-71,-67,-66,-72,-69,-60,-64,-64,-68,-20,-68,-67,-66,-68,-66,-57,-64,0,-67,-60,-67,-65,-65,-55,-64,-61,-62,0,0,-55,-64,-61,-50,-62,-68,-60,-35,-64,-62,-70,-56,-62,-50,-55,3.51,3.44
-74,-72,-71,-71,-74,-71,-72,-74,-70,-69,-72,-71,-71,-72,-69,-71,-72,-73,-72,-71,-73,-65,-72,-73,-71,-73,0,-72,-72,-70,-69,-73,-73,-69,-73,-74,-72,-74,-72,-73,-73,-72,-71,-72,-72,-70,-72,-71,-73,-72,0.03,1.43
-73,-74,-72,-73,-74,-72,-71,-73,-71,-72,-72,-72,-71,-73,-73,-72,-73,-70,-72,-73,-72,-72,-72,-74,-71,-72,-73,-73,-73,-73,-70,-72,-70,-71,-70,-70,-73,-72,-72,-71,-73,-62,-72,-68,-71,-69,-71,-67,-73,-71,0.13,4.1
-73,-72,-70,-73,-70,-72,-72,-72,-69,-68,-70,0,-69,0,0,0,0,0,-68,-67,-73,-72,-70,-72,-66,-66,-71,-71,-69,0,-71,-68,-71,-67,-67,0,-68,-63,-66,-73,-66,-70,-67,-70,-70,-69,-73,-70,-71,-70,1.06,2.19
-70,-71,0,-73,0,-71,-69,-70,-70,-72,-69,0,-72,-69,0,-72,0,-68,0,0,-64,-73,-70,-72,-72,-62,0,-69,-67,-68,-66,-65,-73,-71,-67,-61,-69,-68,-64,-65,-67,-59,-71,-57,-69,-71,-71,-67,-67,-70,2.0,3.65
-20,-64,-61,-58,-47,-64,-20,-63,0,-67,-58,-64,-66,-42,-69,-65,-62,-53,-58,-69,-66,-69,0,-73,-61,-65,-72,-59,-66,-67,-67,-63,-66,-60,-67,-54,-70,-72,-73,-66,-73,-71,-73,-73,-68,-68,-72,-69,-75,-73,3.68,0.24
-71,-71,-71,-72,-70,-73,-67,-69,-73,-73,-73,-69,-66,-65,-70,-66,-70,-69,-67,-67,-62,-64,-68,-61,-62,-69,-57,-57,-68,-62,-67,-69,-66,-45,-59,-62,-61,-67,-66,-69,-64,-65,-58,-61,-67,-65,-69,-54,-62,-65,2.81,4.34
